,city,currency1,currency2,currency3,latitude,longitude,record_date,state,street,valuation_high,valuation_low,zestimate,zipcode,zpid
14,SAN MARCOS,USD,USD,USD,33.161547,-117.18115800000001,2019-02-20 20:49:25.544540,CA,1249 Via Caliente,664971,601641,633306,92069,16667174
15,SAN MARCOS,USD,USD,USD,33.161388,-117.18163,2019-02-20 20:49:25.544540,CA,1254 Via Contessa,613477,555051,584264,92069,16667179
16,SAN MARCOS,USD,USD,USD,33.161541,-117.183431,2019-02-20 20:49:25.544540,CA,1278 Via Contessa,606166,548436,577301,92069,16667189
17,SAN MARCOS,USD,USD,USD,33.163666,-117.183745,2019-02-20 20:49:25.544540,CA,748 Corte Manolito,624622,565134,594878,92069,16667229
18,SAN MARCOS,USD,USD,USD,33.162199,-117.181349,2019-02-20 20:49:25.544540,CA,1254 Via Caliente,657519,594899,626209,92069,16667241
19,SAN MARCOS,USD,USD,USD,33.159709,-117.184467,2019-02-20 20:49:25.544540,CA,647 Camino Magnifico,643678,582376,613027,92069,16667405
20,SAN MARCOS,USD,USD,USD,33.163313,-117.18240800000001,2019-02-20 20:49:25.544540,CA,1271 Avenida Fragata,621462,562276,591869,92069,16667500
21,SAN MARCOS,USD,USD,USD,33.162439,-117.180884,2019-02-20 20:49:25.544540,CA,1237 Avenida Fragata,618118,559250,588684,92069,16667513
22,SAN MARCOS,USD,USD,USD,33.160635,-117.17958899999999,2019-02-20 20:49:25.544540,CA,723 Via Barquero,613380,554962,584171,92069,16667541
23,SAN MARCOS,USD,USD,USD,33.158654999999996,-117.17991299999998,2019-02-20 20:49:25.544540,CA,1033 Camino Del Sol,712935,645037,678986,92069,49816168
24,SAN MARCOS,USD,USD,USD,33.164645,-117.18248100000001,2019-02-20 20:49:25.544540,CA,1289 Avenida Amistad,621176,562016,591596,92069,49941794
25,SAN MARCOS,USD,USD,USD,33.159005,-117.182391,2019-02-20 20:49:25.544540,CA,680 Jay Ct,738892,668522,703707,92069,51077536
